Animals,MPs,Source,Year,DOI
12,431149898.746298,Lab,2022,https://doi.org/10.1016/j.scitotenv.2022.155825
28,29102.6181653751,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.114105
12,145513090826876,Lab,2021,https://doi.org/10.1016/j.jhazmat.2020.123430
12,284205255521.242,Lab,2021,https://doi.org/10.1016/j.jhazmat.2020.123430
12,18189136353.3595,Lab,2021,https://doi.org/10.1016/j.jhazmat.2020.123430
70,2910261816.53751,Lab,2019,https://doi.org/10.1016/j.jhazmat.2018.12.048
70,45472840.8833987,Lab,2019,https://doi.org/10.1016/j.jhazmat.2018.12.048
40,1688273429.48309,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132944
40,8441367147.41544,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132944
40,16882734294.8309,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132944
39,4264053.47361261,Lab,2022,https://doi.org/10.1016/j.envres.2022.113230
39,127454.794467325,Lab,2022,https://doi.org/10.1016/j.envres.2022.113230
136,36841422.0120128,Lab,2022,https://doi.org/10.3390/polym14030402
136,73682844.0240257,Lab,2022,https://doi.org/10.3390/polym14030402
136,147365688.048051,Lab,2022,https://doi.org/10.3390/polym14030402
128,1979688064.70964,Lab,2022,https://doi.org/10.3390/polym14112220
128,13690760.0262077,Lab,2022,https://doi.org/10.3390/polym14112220
128,3959376129.41928,Lab,2022,https://doi.org/10.3390/polym14112220
128,27381520.0524155,Lab,2022,https://doi.org/10.3390/polym14112220
128,7918752258.83855,Lab,2022,https://doi.org/10.3390/polym14112220
128,54763040.1048309,Lab,2022,https://doi.org/10.3390/polym14112220
50,7179922.24474715,Lab,2021,https://doi.org/10.1016/j.scitotenv.2020.143085
24,7179922.24474715,Lab,2022,https://doi.org/10.1016/j.scitotenv.2022.155198
40,1455130908.26876,Lab,2018,https://doi.org/10.1016/j.scitotenv.2018.03.051
40,14551.3090826876,Lab,2018,https://doi.org/10.1016/j.scitotenv.2018.03.051
42,15915494.3091895,Lab,2022,https://doi.org/10.1016/j.chemosphere.2022.135321
24,145513090.826876,Lab,2021,https://doi.org/10.3390/ijms22115845
24,727565454.134378,Lab,2021,https://doi.org/10.3390/ijms22115845
24,1455130908.26876,Lab,2021,https://doi.org/10.3390/ijms22115845
80,7771.23745565895,Lab,2020,https://doi.org/10.1016/j.chemosphere.2019.125492
80,77712.3745565895,Lab,2020,https://doi.org/10.1016/j.chemosphere.2019.125492
80,777123.745565895,Lab,2020,https://doi.org/10.1016/j.chemosphere.2019.125492
24,145513.090826876,Lab,2019,https://doi.org/10.1016/j.scitotenv.2018.08.353
24,14551309.0826876,Lab,2019,https://doi.org/10.1016/j.scitotenv.2018.08.353
24,145513090826.876,Lab,2021,https://doi.org/10.1186/s42826-021-00109-w
24,727565454134.378,Lab,2021,https://doi.org/10.1186/s42826-021-00109-w
24,1455130908268.76,Lab,2021,https://doi.org/10.1186/s42826-021-00109-w
40,1455130.90826876,Lab,2021,https://doi.org/10.1016/j.jhazmat.2020.124028
40,14551309.0826876,Lab,2021,https://doi.org/10.1016/j.jhazmat.2020.124028
40,145513090.826876,Lab,2021,https://doi.org/10.1016/j.jhazmat.2020.124028
21,1455130.90826876,Lab,2022,https://doi.org/10.1016/j.envpol.2022.119789
21,14551309.0826876,Lab,2022,https://doi.org/10.1016/j.envpol.2022.119789
30,109326138.863167,Lab,2022,https://doi.org/10.1016/j.scitotenv.2022.153413
30,43114.9898746298,Lab,2022,https://doi.org/10.1016/j.scitotenv.2022.153413
60,265147.760253053,Lab,2022,https://doi.org/10.1021/acs.estlett.2c00262
